"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 11 16:13:45 GMT 2024","Sun Feb 11 16:13:48 GMT 2024","2629","firefox","example.spec.js","","","","get started link",""
"passed","Sun Feb 11 16:13:49 GMT 2024","Sun Feb 11 16:13:52 GMT 2024","2932","webkit","example.spec.js","","","","has title",""
"passed","Sun Feb 11 16:13:49 GMT 2024","Sun Feb 11 16:13:52 GMT 2024","3284","webkit","example.spec.js","","","","get started link",""
"passed","Sun Feb 11 16:13:45 GMT 2024","Sun Feb 11 16:13:47 GMT 2024","2111","firefox","example.spec.js","","","","has title",""
"passed","Sun Feb 11 16:13:43 GMT 2024","Sun Feb 11 16:13:45 GMT 2024","1688","chromium","example.spec.js","","","","get started link",""
"passed","Sun Feb 11 16:13:43 GMT 2024","Sun Feb 11 16:13:44 GMT 2024","1291","chromium","example.spec.js","","","","has title",""
